case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
A12/1434/17,,,Motor vehicles,Passenger car,Legacy,Subaru,"Type-approval number: e1*2001/116*0228*00-*10, e1*2001/116*0256*00-*13 Type: BL/BP, BL/BPS",The vehicles affected were produced between 2004 and 2009.,,,Injuries,"null In the event of deployment of the passenger airbag, the inflator could burst leading to uncontrolled unfolding of the airbag and the release of metal fragments.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 18/08/2017,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/282946,
A12/1437/17,,,Motor vehicles,Passenger car,Dodge,Journey,,The vehicles affected were produced between 14/10/2010 and 20/04/2015.,,,Injuries,"null The positioning of the steering wheel wire harness may lead to chafing of the wire insulation creating a short circuit which could result in inadvertent driver airbag deployment, leading to a crash.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/283092,
A12/1387/17,,,Motor vehicles,Passenger car,Jeep,"Compass, Patriot",EC type-approval: e11*2001/116*0142*08 and 14;Type: PK,The vehicles concerned were produced between 14 February 2009 and 13 August 2014.,,,Injuries,"null In the event of an accident, the airbags and seatbelt pre-tensioners may not deploy as intended due to a defect in the control unit for vehicle occupant protection. The risk of injury to the occupants is thus increased.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/281079,
A12/1405/17,,,Motor vehicles,Passenger car,Smart,"Fortwo, Forfour",Type approval number: e1*2001/116*0413*33-*36 Types:451,The vehicles affected were manufactured between 03/2017 and 06/2017.,,,Injuries,"null The strength of the left front steering knuckle may be insufficient. As a result, the steering knuckle could break, affecting the control of the vehicle.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 25/08/2017,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/281897,
A12/1352/17,,,Motor vehicles,Passenger car,Mercedes-Benz,"A-Class, B-Class, CLA, C Class, E-Class, GLC",,Vehicles manufactured between February 2014 and February 2017 are affected.,,,Fire,"null The starter current limiter may be overloaded and overheat. As a consequence, the surrounding components could ignite, leading to a fire.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 01/09/2017,,Passenger car,Romania,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/277816,
A12/1338/17,,,Motor vehicles,Passenger car,Dacia,Duster,"e2*2001/116*0314 ext 81 to 83, e2*2007/46*0030*39, e2*2007/46*0030*40",The vehicles concerned are equipped with single-tone vehicle horns and were manufactured from the start of production to 25 May 2017.,,,Injuries,"null The car horn system does not match the vehicle's electrical system.  As a consequence, the horn may stop working and the driver's airbag may malfunction.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 18/09/2017,,Passenger car,France,Romania,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/279907,
A12/1339/17,,,Motor vehicles,Passenger car,Citroën,C4 Cactus,"e2*2007/46*0440*02, e2*2007/46*0440*03, e2*2007/46*0440*04, e2*2007/46*0440*05, e2*2007/46*0440*06, e2*2007/46*0440*07, e2*2007/46*0440*08",Manufactured between 9 September 2015 and 12 May 2017.,,,Injuries,"null The cable of the bonnet release is insufficiently secured, which could lead to the bonnet opening unexpectedly whilst driving.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 04/09/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/279914,
A12/1342/17,,,Motor vehicles,Passenger car,Mitsubishi,Pajero,"Type-approval numbers:e1*2001/116*0385*00e1*2001/116*0385*12Models: V80W, V90W",Model year: 2007-2012,,,Injuries,"null In the event of deployment of the driver and passenger side airbags, sharp fragments may be released from the inflators of the airbags which could injure the driver and/or the passenger.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 14/09/2017,,Passenger car,Poland,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/280237,
A12/1344/17,,,Motor vehicles,Passenger car,Peugeot,"3008, 5008","e2*2007/46*0534*00, e2*2007/46*0534*01, e2*2007/46*0534*02, e2*2007/46*0534*03, e2*2007/46*0534*04",Manufactured between 5 April 2016 and 17 July 2017.Manufactured between 6 September 2016 and 11 July 2017.,,,Injuries,"null The starter motor supply terminal may come into contact with an engine component. This could lead to damage to the supply terminal and to a short circuit. As a result, it may be impossible to start the vehicle.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 14/09/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/280256,
A12/1345/17,,,Motor vehicles,Passenger car,Citroën,C4 Picasso,e2*2007/46*0356*11,Manufactured between 28 June 2016 and 15 July 2016.,,,Injuries,"null The starter motor supply terminal may come into contact with an engine component. This could lead to damage to the supply terminal and to a short circuit. As a result, it may be impossible to start the vehicle.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 14/09/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/280262,
A12/1346/17,,,Motor vehicles,Passenger car,Bmw,"Series 5, Series 6 and Series 7","Types: G5L and G5K; EC type-approval numbers: e1*2007/46*1688* and e1*2007/46*1750*; sales description: BMW series 5 sedan and BMW series 5 Touring, Series 6 and Series 7",The vehicles concerned were manufactured in August 2017.,,,Injuries,null A component of the steering mechanism might not have been fitted correctly. This might lead to considerably increased steering force being required or to a loss of steering control.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/280321,
A12/1360/17,,,Motor vehicles,Passenger car,Peugeot,5008,"e2*2007/46*0534*02, e2*2007/46*0534*03, e2*2007/46*0534*04, e2*2007/46*0534*05,",Manufactured between 3 April 2017 and 25 July 2017,,,Injuries,"null The fixing screws of the wheel hubs on the rear cross member may not be tightened correctly. As a result, they could loosen which could lead to a loss of vehicle control while driving.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 14/09/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/280604,
A12/1330/17,,,Motor vehicles,Passenger car,Smart,"Fortwo, Forfour",Type 453,Vehicles produced between 11.11.2014 - 06.10.2015 are affected,,,Injuries,"null As a result of the weakening of the braking rope wrench adjustment knob, the hand brake lever travel could be prolonged gradually. Thus, the parking brake may not exert the necessary force in all situations.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 01/09/2017,,Passenger car,Romania,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/277964,
A12/1283/17,,,Motor vehicles,Passenger car,Hyundai,"Santa Fe, Grand Santa Fe",Santa Fe (DM) – production date: from job one to 1st July 2016;Grand Santa Fe (NC) – production date: from job one to 2nd July 2016.,,,,Injuries,"null There may be problems with the engine bonnet closure and locking system, causing the bonnet to open inadvertently whilst driving.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 01/09/2017,,Passenger car,Romania,Republic of Korea,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/277987,
A12/1292/17,,,Motor vehicles,Passenger car,Bmw,X1,Type-approval number: e1*2007/46*1676; Type: F1X,The vehicles affected were produced between June 2017 and July 2017.,,,Injuries,null A faulty connecting socket on the dual clutch transmission could lead to the gears switching to neutral. It would then be impossible to change gear or start the engine once the vehicle has stopped.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 01/08/2017,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/278742,
A12/1233/17,,,Motor vehicles,Passenger car,Bmw,"5 Series Limousine, 5 Series Touring, 6 Series Gran Turismo","EC type-approval numbers: e1*2007/46*1688, e1*2007/46*1750, e1*2007/46*1791; types: G5L, G5K, G6GT",The vehicles concerned were manufactured in 2017.,,,Injuries,null The front safety belts may have a faulty locking mechanism.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 30/08/2017,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/277329,
A12/1254/17,,,Motor vehicles,Passenger car,Alfa Romeo,Mito,Type-approval number: e3*2001/116*0278*; Type: 955,Vehicles from the production period October 2016 to January 2017 are affected,,,Injuries,null Faulty crimping of the micro-gas generator can lead to parts of the seat-belt pre-tensioner detaching and entering the passenger compartment.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/277573,
A12/1258/17,,,Motor vehicles,Passenger car,Lancia,Ypsilon,Type-approval number: individual approval.,The vehicles concerned were manufactured in November 2014,,,Injuries,"null Due to an inadequate weld, the rear right ISOFIX child seat mounting may become detached in the event of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/277930,
A12/1259/17,,,Motor vehicles,Passenger car,Mercedes-Benz,E-class,"Type-approval numbers: e1*2001/116*0501*28-32, e1*2007/46*1560*00-04; Type: 212, R1ES",The vehicles concerned were manufactured between August 2016 and May 2017,,,Injuries,"null The mixing ratio of the propellant for the seat-belt pre-tensioner igniters may be incorrect. In an accident in which the rear seat-belt pre-tensioners were activated, the igniters might not ignite as intended and the pre-tensioners would not provide the restraint performance required.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/277983,
